序号,日期,时间,稳定值(Ω),单位,量程
69,2026-08-14,16:49:22,0.421600,Ω,R3
70,2026-08-14,16:49:33,0.433700,Ω,R3
71,2026-08-14,16:49:42,0.455500,Ω,R3
72,2026-08-14,16:49:51,0.397200,Ω,R3
73,2026-08-14,16:49:56,0.397400,Ω,R3
74,2026-08-14,16:51:16,0.414400,Ω,R3
75,2026-08-14,16:51:27,0.447800,Ω,R3
76,2026-08-14,16:51:37,0.449800,Ω,R3
77,2026-08-14,16:51:49,0.457500,Ω,R3
78,2026-08-14,16:52:00,0.410700,Ω,R3
79,2026-08-14,16:52:16,0.406800,Ω,R3
80,2026-08-14,16:52:28,0.451800,Ω,R3
81,2026-08-14,16:52:42,0.420700,Ω,R3
82,2026-08-14,16:52:52,0.430800,Ω,R3
83,2026-08-14,16:53:01,0.440200,Ω,R3
84,2026-08-14,16:53:13,0.437000,Ω,R3
85,2026-08-14,16:53:23,0.413200,Ω,R3
86,2026-08-14,16:53:31,0.662900,Ω,R3
87,2026-08-14,16:53:40,0.421100,Ω,R3
88,2026-08-14,16:54:03,0.423400,Ω,R3
89,2026-08-14,16:54:16,0.397500,Ω,R3
90,2026-08-14,16:54:28,0.424800,Ω,R3
91,2026-08-14,16:54:41,0.408600,Ω,R3
92,2026-08-14,16:54:50,0.457300,Ω,R3
93,2026-08-14,16:55:05,0.456700,Ω,R3
94,2026-08-14,16:55:17,0.466000,Ω,R3
95,2026-08-14,16:55:27,0.417800,Ω,R3
96,2026-08-14,16:55:38,0.443800,Ω,R3
97,2026-08-14,16:55:49,0.420700,Ω,R3
98,2026-08-14,16:56:02,0.428000,Ω,R3
99,2026-08-14,16:56:11,0.417800,Ω,R3
100,2026-08-14,16:56:24,0.416300,Ω,R3
101,2026-08-14,16:57:20,0.434200,Ω,R3
102,2026-08-14,16:57:30,0.377900,Ω,R3
103,2026-08-14,16:57:38,0.385200,Ω,R3
104,2026-08-14,16:57:46,0.384200,Ω,R3
105,2026-08-14,16:57:52,0.376300,Ω,R3
106,2026-08-14,16:57:59,0.381100,Ω,R3
107,2026-08-14,16:58:06,0.380600,Ω,R3
108,2026-08-14,16:58:14,0.385900,Ω,R3
109,2026-08-14,16:58:21,0.422900,Ω,R3
110,2026-08-14,16:58:29,0.379700,Ω,R3
111,2026-08-14,18:27:04,0.396200,Ω,R3
112,2026-08-14,18:27:30,0.410900,Ω,R3
113,2026-08-14,18:27:37,0.381500,Ω,R3
114,2026-08-14,18:27:43,0.391900,Ω,R3
115,2026-08-14,18:27:50,0.382500,Ω,R3
116,2026-08-14,18:27:56,0.379100,Ω,R3
117,2026-08-14,18:28:02,0.403700,Ω,R3
118,2026-08-14,18:28:09,0.431800,Ω,R3
119,2026-08-14,18:28:20,0.395800,Ω,R3
120,2026-08-14,18:28:27,0.394200,Ω,R3
121,2026-08-14,18:28:34,0.400200,Ω,R3
122,2026-08-14,18:28:46,0.415500,Ω,R3
123,2026-08-14,18:28:59,0.393200,Ω,R3
124,2026-08-14,18:29:06,0.407500,Ω,R3
125,2026-08-14,18:29:19,0.395500,Ω,R3
126,2026-08-14,18:29:25,0.411300,Ω,R3
127,2026-08-14,18:29:33,0.398300,Ω,R3
128,2026-08-14,18:29:39,0.387700,Ω,R3
129,2026-08-14,18:29:44,0.407900,Ω,R3
130,2026-08-14,18:29:55,0.382900,Ω,R3
131,2026-08-14,18:30:02,0.390100,Ω,R3
132,2026-08-14,18:30:07,0.403500,Ω,R3
133,2026-08-14,18:30:18,0.405300,Ω,R3
134,2026-08-14,18:30:24,0.410200,Ω,R3
135,2026-08-14,18:30:30,0.396400,Ω,R3
136,2026-08-14,18:30:37,0.445000,Ω,R3
